"","poll_id","pollster_id","numeric_grade","pollscore","methodology","state","start_date","end_date","sample_size","population","candidate_name","pct"
"1",773,38,7.38,-0.36,"In-Person","Oregon",2024-07-05,2024-07-12,5996,"registered voters","Kamala Harris",61.8
"2",101,10,3.55,0.26,"Online","Georgia",2024-04-04,2024-04-07,3322,"registered voters","Kamala Harris",38.8
"3",170,84,3.87,-0.05,"Hybrid","Missouri",2024-09-20,2024-09-23,167,"registered voters","other",54.8
"4",462,17,1.9,0.73,"Online","Tennessee",2024-03-29,2024-04-01,1566,"likely voters","Kamala Harris",68.3
"5",376,11,5.03,0.7,"Online","Missouri",2024-01-18,2024-01-20,5043,"likely voters","Donald Trump",59.1
"6",73,83,5.82,-0.63,"Online","Washington",2024-05-31,2024-06-01,9477,"registered voters","Donald Trump",64.1
"7",165,60,2.24,-0.67,"In-Person","Washington",2024-01-03,2024-01-06,3775,"likely voters","Kamala Harris",65.2
"8",21,37,5.32,-0.73,"Hybrid","Missouri",2024-10-02,2024-10-06,7570,"likely voters","other",42.8
"9",921,25,9.45,0.19,"Hybrid","Florida",2024-10-04,2024-10-06,674,"registered voters","other",33.8
"10",408,44,2.35,0.63,"Online","Ohio",2024-07-29,2024-08-04,3424,"registered voters","Donald Trump",44.1
"11",425,26,8.41,-0.78,"Hybrid","Alaska",2024-02-21,2024-02-27,2155,"registered voters","Kamala Harris",46.9
"12",861,7,6.18,0.82,"Hybrid","Rhode Island",2024-01-19,2024-01-21,4515,"registered voters","Kamala Harris",49.5
"13",608,64,3.29,0.98,"In-Person","Texas",2024-07-16,2024-07-18,4493,"likely voters","Donald Trump",55.1
"14",572,82,1.73,0.84,"Online","Rhode Island",2024-06-14,2024-06-16,1071,"registered voters","Donald Trump",42.1
"15",661,73,3.06,-0.93,"In-Person","New Hampshire",2024-09-29,2024-10-05,8858,"likely voters","Donald Trump",41
"16",807,61,4.64,0.85,"In-Person","Indiana",2024-10-09,2024-10-12,6987,"likely voters","other",69.6
"17",105,50,9.44,0.87,"Online","Washington",2024-01-31,2024-02-06,5994,"registered voters","other",58.1
"18",593,83,9.45,-0.7,"Online","Massachusetts",2024-07-20,2024-07-23,2634,"registered voters","other",43.2
"19",181,37,0.47,-0.19,"In-Person","Connecticut",2024-05-23,2024-05-26,7606,"likely voters","other",60.3
"20",65,96,6.18,0.11,"In-Person","Pennsylvania",2024-05-25,2024-05-31,4039,"registered voters","Kamala Harris",33.9
"21",886,55,7.76,0.58,"Hybrid","Massachusetts",2024-07-26,2024-08-02,2009,"registered voters","other",31.8
"22",96,24,2,0.17,"Hybrid","North Carolina",2024-05-15,2024-05-21,9468,"likely voters","Donald Trump",65.5
"23",788,25,4.19,-0.06,"Online","Montana",2024-05-10,2024-05-12,9335,"likely voters","Donald Trump",43
"24",7,60,3.26,-0.79,"Online","Wisconsin",2024-04-20,2024-04-24,8952,"registered voters","Donald Trump",54.4
"25",670,39,6.23,-0.21,"In-Person","Massachusetts",2024-03-11,2024-03-18,6111,"likely voters","other",42.7
"26",375,92,4.5,-0.93,"In-Person","Oregon",2024-07-21,2024-07-27,8280,"likely voters","other",46.3
"27",310,33,0.06,-0.1,"Hybrid","Indiana",2024-10-03,2024-10-05,4857,"likely voters","Kamala Harris",41.2
"28",487,32,5.58,0.75,"In-Person","Kansas",2024-05-20,2024-05-21,5436,"likely voters","other",63.8
"29",540,23,7.19,0.37,"Hybrid","Rhode Island",2024-04-03,2024-04-09,3483,"registered voters","other",46.5
"30",412,49,4.76,-0.92,"In-Person","Minnesota",2024-07-16,2024-07-19,5413,"registered voters","Donald Trump",45.6
"31",930,90,8.56,0.33,"In-Person","Minnesota",2024-03-20,2024-03-23,3447,"likely voters","Kamala Harris",60.3
"32",877,29,2.6,0.89,"Online","Mississippi",2024-07-16,2024-07-22,3706,"likely voters","Donald Trump",30.8
"33",61,49,4.64,0.18,"Hybrid","Hawaii",2024-02-01,2024-02-04,3728,"likely voters","Kamala Harris",61.3
"34",616,67,2.76,0.43,"Hybrid","Tennessee",2024-09-26,2024-10-03,1231,"likely voters","Kamala Harris",65.9
"35",96,93,7.99,0.86,"Hybrid","Louisiana",2024-04-15,2024-04-22,8717,"registered voters","Kamala Harris",63.8
"36",982,44,7.8,0.47,"Hybrid","Connecticut",2024-03-17,2024-03-20,2898,"likely voters","other",45.8
"37",320,86,3.4,0.49,"Hybrid","Nebraska",2024-01-31,2024-02-04,6459,"registered voters","Kamala Harris",54.1
"38",985,84,5.55,-0.13,"In-Person","Washington",2024-03-31,2024-04-06,4347,"registered voters","other",34.4
"39",466,32,4.14,0.94,"In-Person","Rhode Island",2024-07-09,2024-07-15,7312,"likely voters","other",38.7
